"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"351735486131351553","","","","","2013-07-01 16:14:09 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Mozillaand Partners Prepare to Launch First Firefox OS Smartphones! | Mozilla Press Center | http://t.co/R1dBxVv6ue","http://buff.ly/1cIa305"
"351721988814942209","","","","","2013-07-01 15:20:31 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Proyecto Yachay [Ecuador]: Revocación de los acuerdos con Microsoft en el proyecto Yachay https://t.co/z5bZxOF0mi via @change","https://www.change.org/petitions/proyecto-yachay-ecuador-revocaci%C3%B3n-de-los-acuerdos-con-microsoft-en-el-proyecto-yachay?share_id=ByAvGCmbuM&utm_campaign=twitter_link_action_box&utm_medium=twitter&utm_source=share_petition"
"350753246207422464","","","","","2013-06-28 23:11:05 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","21 Months In: How to Manage a Remote Team · Zapier http://t.co/QHFpFj7pa6","http://buff.ly/11Ooe2k"
"350722805677031424","","","","","2013-06-28 21:10:07 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","eval()isn’t evil, just misunderstood | NCZOnline | http://t.co/DkQhU3Fdll","http://buff.ly/1cwceno"
"350690533611548672","","","","","2013-06-28 19:01:53 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","DailyJS: MV* and Local Storage http://t.co/pPFRXiTBPY","http://buff.ly/14AyQA3"
"350663015701557248","","","","","2013-06-28 17:12:32 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Building Apps For Firefox OS, Chrome OS And The Web – TNG - The Nitty Gritty http://t.co/IONZJgsaCN","http://buff.ly/14AxBkr"
"350649338214617089","","","350647179729309696","12819682","2013-06-28 16:18:11 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @mitchellh: I’m excited to announce Packer: an open source tool for building machine images. http://t.co/2wwY68GHTU http://t.co/Yx8ImYvS…","http://mitchellh.com/packer"
"350648327806779393","","","","","2013-06-28 16:14:10 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Whatare Generators? | Flippin' Awesome | http://t.co/HSL8tCPLhI","http://buff.ly/17HIdnU"
"350637698920349696","","","","","2013-06-28 15:31:56 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Migrating to http://t.co/gmgmte9LD9 for the #GoogleReader death","http://www.goread.io/"
"350617341576478721","","","","","2013-06-28 14:11:03 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","What Makes Code Hard to Understand? | synesthesiam http://t.co/8dpfJtV7h2","http://buff.ly/14xURQb"
"350588397632491520","","","","","2013-06-28 12:16:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Secrets of the Browser Developer Tools http://t.co/vxwfQ3uzQa","http://buff.ly/14xUqp4"
"350426331084890112","","","","","2013-06-28 01:32:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Games and your brain http://t.co/V0aZ8DPpd3","http://buff.ly/14xjs7E"
"350415359641264128","","","350414825920270337","16891384","2013-06-28 00:48:26 +0000","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","RT @KentBeck: when paralyzed by self-doubt, i only need to be able to write the next test, not make it work. do it now."
"350390864658440194","","","","","2013-06-27 23:11:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Database Systems: Why is it hard to scale a database, in layman’s terms? - Quora http://t.co/KYHoVbBQI5","http://buff.ly/17Fyxub"
"350360441249210370","","","","","2013-06-27 21:10:13 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Heroku | Introducing Heroku Fork http://t.co/k3ak9hJzBV","http://buff.ly/17FwXbv"
"350328038623424512","","","","","2013-06-27 19:01:27 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","The case against using http://t.co/BUZZBRyyqs in production http://t.co/CjdX6sSbn3","http://RubyGems.org","http://buff.ly/17FpZDo"
"350300604997971968","","","","","2013-06-27 17:12:27 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Configuring Pow with NGINX and SSL on OSX http://t.co/WKDOgAKTpR","http://buff.ly/14x1ORn"
"350292335210405888","","","350286581615181824","376232372","2013-06-27 16:39:35 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @Gayotapao: Hoy he encontrado 5 Iphones, 3 portátiles, 2 Samsung Galaxy y 5 carteras. Creo que este pistola me trae buena suerte!"
"350284505258524676","","","349983330348969984","499187808","2013-06-27 16:08:28 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @Martin1Williams: Ensure the safety of your children’s data security by naming their first pet with a mixture of upper &amp; lower case lett…"
"350028475782008833","","","","","2013-06-26 23:11:06 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Animation in AngularJS by Gias Kay Lee http://t.co/f2AbJCgB9i","http://buff.ly/1cnQpq3"
"349998009242746880","","","","","2013-06-26 21:10:02 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","osx - Please share your hidden OS X features or tips and tricks - Ask Different http://t.co/XJ4l4z6DKZ","http://buff.ly/17ClTMi"
"349965726695698432","","","","","2013-06-26 19:01:45 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","You Can Finally Buy the Magical Spray That Waterproofs Everything http://t.co/Ch0bo5sv4K","http://buff.ly/14sRhqi"
"349938177559105536","","","","","2013-06-26 17:12:17 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","dypsilon/frontend-dev-bookmarks · GitHub http://t.co/iZFpaqJAr4","http://buff.ly/14sQ42f"
